Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,success_level
Destiny: The Collection,XOne,2016.0,Shooter,Activision,0.05,0.06,0.0,0.01,0.12,73.0,,7.4,,Bungie,T,1
Lego Star Wars: The Force Awakens,X360,2016.0,Action,Warner Bros. Interactive Entertainment,0.05,0.06,0.0,0.01,0.12,68.0,,6.9,7.0,TT Games,E10+,1
Gallop Racer 2000,PS,2000.0,Sports,Tecmo Koei,0.0,0.0,0.11,0.01,0.12,75.0,,7.4,,Unknown,Unknown,1
Showdown: Legends of Wrestling,XB,2004.0,Fighting,Acclaim Entertainment,0.09,0.03,0.0,0.0,0.12,57.0,33.0,7.6,,Acclaim,T,1
Godzilla Unleashed: Double Smash,DS,2007.0,Action,Atari,0.11,0.0,0.0,0.01,0.12,28.0,18.0,4.9,8.0,Santa Cruz Games,E,1
My Farm Around the World,DS,2008.0,Simulation,Atari,0.11,0.0,0.0,0.01,0.12,70.0,,7.5,,BIP Games,E,1
Macross Triangle Frontier,PSP,2011.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,68.0,,7.4,,Unknown,Unknown,1
SpongeBob's Surf & Skate Roadtrip,DS,2011.0,Action,THQ,0.1,0.01,0.0,0.01,0.12,68.0,,7.4,,Unknown,Unknown,1
Farming Simulator 17,XOne,2016.0,Simulation,Focus Home Interactive,0.04,0.07,0.0,0.01,0.12,65.0,9.0,7.5,,Giants Software,E,1
Dishonored 2,PC,2016.0,Action,Bethesda Softworks,0.04,0.07,0.0,0.01,0.12,86.0,37.0,6.0,383.0,Arkane Studios,M,1
NASCAR Unleashed,X360,2011.0,Racing,Activision,0.11,0.0,0.0,0.01,0.12,69.0,,7.4,,Firebrand Games,E,1
The Smurfs 2,X360,2013.0,Platform,Ubisoft,0.03,0.08,0.0,0.01,0.12,69.0,,5.4,14.0,WayForward,E,1
Street Hoops,GC,2008.0,Sports,Unknown,0.09,0.02,0.0,0.0,0.12,56.0,9.0,7.3,7.0,Black Ops Entertainment,T,1
Backyard Sports Football: Rookie Rush,Wii,2010.0,Sports,Atari,0.11,0.0,0.0,0.01,0.12,75.0,,7.4,,Unknown,Unknown,1
Transformers: War for Cybertron -- Decepticons,DS,2010.0,Action,Activision,0.11,0.01,0.0,0.01,0.12,68.0,,7.4,,Unknown,Unknown,1
Rocket: Robot on Wheels,N64,1999.0,Platform,Ubisoft,0.1,0.02,0.0,0.0,0.12,69.0,,7.7,,Unknown,Unknown,1
Densha De Go! 64,N64,1999.0,Simulation,Taito,0.0,0.0,0.05,0.07,0.12,70.0,,7.5,,Unknown,Unknown,1
NFL QB Club 2001,N64,2000.0,Sports,Acclaim Entertainment,0.11,0.01,0.0,0.0,0.12,75.0,,7.4,,Unknown,Unknown,1
Earthworm Jim 3D,N64,1999.0,Platform,Interplay,0.1,0.02,0.0,0.0,0.12,69.0,,7.7,,Unknown,Unknown,1
NPPL: Championship Paintball 2009,X360,2008.0,Shooter,Activision Value,0.1,0.01,0.0,0.01,0.12,44.0,9.0,7.3,9.0,FUN Labs,E10+,1
Shin Megami Tensei: Devil Survivor 2,3DS,2015.0,Role-Playing,Atlus,0.0,0.02,0.09,0.0,0.12,74.0,,7.8,,Unknown,Unknown,1
Atelier Annie: Alchemists of Sera Island,DS,2009.0,Role-Playing,Gust,0.08,0.0,0.03,0.01,0.12,70.0,11.0,6.7,15.0,Gust,E10+,1
WRC: FIA World Rally Championship,X360,2008.0,Racing,Black Bean Games,0.0,0.1,0.0,0.02,0.12,66.0,24.0,6.0,4.0,Milestone S.r.l,E10+,1
PBR: Out of the Chute,Wii,2008.0,Sports,Crave Entertainment,0.11,0.0,0.0,0.01,0.12,75.0,,7.4,,Unknown,Unknown,1
WWE SmackDown vs Raw 2008,DS,2007.0,Fighting,THQ,0.11,0.0,0.0,0.01,0.12,61.0,12.0,6.6,13.0,Amaze Entertainment,T,1
Godzilla: Destroy All Monsters Melee,XB,2008.0,Fighting,Unknown,0.09,0.03,0.0,0.0,0.12,71.0,20.0,6.8,8.0,"Pipeworks Software, Inc.",T,1
College Hoops 2K6,X360,2006.0,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12,70.0,17.0,7.3,11.0,2K Sports,E,1
Sega Soccer Slam,PS2,2002.0,Sports,Sega,0.06,0.05,0.0,0.02,0.12,66.0,9.0,7.4,,Black Box,E,1
Dragon Quest Builders: Revive Alefgard,PS3,2016.0,Role-Playing,Square Enix,0.0,0.0,0.12,0.0,0.12,74.0,,7.8,,Unknown,Unknown,1
Dora the Explorer: Dora Saves the Mermaids,PS2,2008.0,Platform,Take-Two Interactive,0.06,0.05,0.0,0.02,0.12,69.0,,7.7,,Take-Two Interactive,E,1
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005.0,Racing,THQ,0.09,0.03,0.0,0.0,0.12,69.0,,7.4,,Unknown,Unknown,1
DiRT 2,DS,2009.0,Racing,Codemasters,0.06,0.04,0.0,0.01,0.12,73.0,7.0,7.4,,Firebrand Games,E,1
Mahou Shoujo Lyrical Nanoha A's Portable: The Gears of Destiny,PSP,2011.0,Fighting,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,72.0,,7.6,,Unknown,Unknown,1
Dodge Racing: Charger vs Challenger,Wii,2009.0,Racing,Zushi Games,0.11,0.0,0.0,0.01,0.12,69.0,,7.4,,EM Studios,E,1
Fate/Extra CCC,PSP,2013.0,Action,Marvelous Entertainment,0.0,0.0,0.12,0.0,0.12,68.0,,7.4,,Unknown,Unknown,1
Greg Hastings Paintball 2,Wii,2010.0,Shooter,505 Games,0.11,0.0,0.0,0.01,0.12,73.0,,7.4,,Super X Studios,E10+,1
Fat Princess: Fistful of Cake,PSP,2010.0,Action,Sony Computer Entertainment,0.08,0.02,0.0,0.02,0.12,74.0,33.0,8.7,25.0,SuperVillain Studios,T,1
MTV Sports: Pure Ride,PS,2000.0,Sports,THQ,0.07,0.05,0.0,0.01,0.12,70.0,9.0,7.4,,Radical Entertainment,Unknown,1
Burning Road,PS,1996.0,Racing,FunSoft,0.07,0.05,0.0,0.01,0.12,69.0,,7.4,,Unknown,Unknown,1
Sonic Adventure 2,DC,2001.0,Platform,Sega,0.0,0.0,0.12,0.0,0.12,89.0,18.0,8.6,236.0,Sonic Team,E,1
IndyCar Series,PS2,2003.0,Racing,Codemasters,0.06,0.05,0.0,0.02,0.12,69.0,20.0,7.4,,Codemasters,E,1
Slayers,SNES,1994.0,Role-Playing,Banpresto,0.0,0.0,0.12,0.0,0.12,74.0,,7.8,,Unknown,Unknown,1
Super Robot Wars OG Saga: Masou Kishin - The Lord of Elemental,DS,2010.0,Strategy,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,73.0,,7.8,,Unknown,Unknown,1
Space Chimps,PS2,2008.0,Platform,Brash Entertainment,0.06,0.05,0.0,0.02,0.12,69.0,,6.6,7.0,Red Tribe,E10+,1
Backyard Sports Football: Rookie Rush,X360,2010.0,Sports,Atari,0.11,0.0,0.0,0.01,0.12,75.0,,7.4,,Unknown,Unknown,1
Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,GBA,2005.0,Misc,Vivendi Games,0.09,0.03,0.0,0.0,0.12,69.0,,7.1,,Unknown,Unknown,1
Famicom Mini: TwinBee,GBA,2004.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,73.0,,7.4,,Unknown,Unknown,1
Tony Hawk's Pro Skater 5,XOne,2015.0,Sports,Activision,0.09,0.02,0.0,0.01,0.12,39.0,18.0,2.1,132.0,Robomodo,T,1
Gladiator: Sword of Vengeance,PS2,2003.0,Action,Acclaim Entertainment,0.06,0.05,0.0,0.02,0.12,65.0,19.0,5.8,8.0,Acclaim Studios Manchester,M,1
Rodea the Sky Soldier,WiiU,2015.0,Action,Nippon Ichi Software,0.08,0.02,0.01,0.01,0.12,45.0,31.0,6.5,81.0,"Prope, Kadokawa",E10+,1
The Daring Game for Girls,DS,2008.0,Adventure,Unknown,0.11,0.0,0.0,0.01,0.12,66.0,,7.6,,WXP,E,1
Yakuza Kiwami,PS3,2016.0,Adventure,Sega,0.0,0.0,0.12,0.0,0.12,66.0,,7.6,,Unknown,Unknown,1
DreamWorks Super Star Kartz,3DS,2011.0,Racing,Activision,0.08,0.03,0.0,0.01,0.12,69.0,,7.4,,Activision,E,1
Pinball Hall of Fame: The Williams Collection,X360,2009.0,Misc,Crave Entertainment,0.11,0.0,0.0,0.01,0.12,83.0,18.0,8.3,16.0,Farsight Studios,E10+,1
Ultimate Card Games,GBA,2003.0,Misc,Telegames,0.09,0.03,0.0,0.0,0.12,87.0,9.0,7.1,,Cosmigo,E,1
Jikkyou Powerful Pro Yakyuu 8 Ketteiban,PS2,2001.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,75.0,,7.4,,Unknown,Unknown,1
NBA 2K17,X360,2016.0,Sports,Take-Two Interactive,0.09,0.02,0.0,0.01,0.12,75.0,,3.4,11.0,2K Games,E,1
Academy of Champions: Soccer,Wii,2009.0,Sports,Ubisoft,0.09,0.02,0.0,0.01,0.12,64.0,20.0,6.8,14.0,Ubisoft Vancouver,E,1
Overlord: Raising Hell,PS3,2008.0,Action,Codemasters,0.07,0.03,0.0,0.02,0.12,72.0,35.0,7.7,27.0,4J Studios,T,1
Wallace & Gromit: Curse of the Were-Rabbit,PS2,2005.0,Adventure,Konami Digital Entertainment,0.06,0.05,0.0,0.02,0.12,66.0,,7.6,,Unknown,Unknown,1
Power Gig: Rise of the SixString,X360,2010.0,Misc,Unknown,0.11,0.0,0.0,0.01,0.12,36.0,20.0,2.1,17.0,Seven45 Studios,T,1
Mountain Sports,Wii,2009.0,Sports,Activision,0.11,0.0,0.0,0.01,0.12,75.0,,7.4,,Activision,E,1
Puzzle Kingdoms,Wii,2009.0,Puzzle,Zoo Digital Publishing,0.11,0.0,0.0,0.01,0.12,63.0,11.0,7.5,,Infinite Interactive,E,1
Skylanders: SuperChargers,3DS,2015.0,Action,Activision,0.05,0.06,0.0,0.01,0.12,68.0,,7.4,,Vicarious Visions,E10+,1
Monster Jam: Path of Destruction,X360,2010.0,Racing,Activision,0.11,0.0,0.0,0.01,0.12,69.0,,5.0,4.0,Virtuos,E,1
The Bible Game,GBA,2005.0,Misc,Crave Entertainment,0.09,0.03,0.0,0.0,0.12,69.0,,7.1,,Crave,E,1
NFL Head Coach,XB,2006.0,Sports,Electronic Arts,0.09,0.03,0.0,0.0,0.12,69.0,26.0,7.1,9.0,EA Tiburon,E,1
Just Dance: Disney Party,Wii,2012.0,Misc,Ubisoft,0.01,0.1,0.0,0.01,0.12,69.0,,7.1,,"Disney Interactive Studios, Land Ho!",E,1
Medarot 4: Kabuto / Kuwagata Version,GB,2001.0,Role-Playing,Imagineer,0.0,0.0,0.12,0.0,0.12,74.0,,7.8,,Unknown,Unknown,1
Deca Sports Extreme,3DS,2011.0,Sports,Hudson Soft,0.08,0.0,0.03,0.01,0.12,52.0,6.0,7.4,,Hudson Soft,E,1
Kidz Sports: Crazy Golf,Wii,2008.0,Sports,Data Design Interactive,0.11,0.0,0.0,0.01,0.12,75.0,,3.4,8.0,Data Design Interactive,E,1
Major League Baseball 2K6,PSP,2008.0,Sports,Unknown,0.11,0.0,0.0,0.01,0.12,69.0,5.0,7.4,,Visual Concepts,E,1
Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,PSP,2010.0,Shooter,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,73.0,,7.4,,Unknown,Unknown,1
Deepak Chopra's Leela,X360,2011.0,Misc,THQ,0.07,0.04,0.0,0.01,0.12,69.0,,3.5,4.0,Curious Pictures,E,1
"Ed, Edd n Eddy: The Mis-Edventures",GBA,2005.0,Platform,Midway Games,0.08,0.03,0.0,0.0,0.12,69.0,,7.7,,Artificial Mind and Movement,E,1
Onimusha: Blade Warriors,PS2,2003.0,Fighting,Capcom,0.06,0.05,0.0,0.02,0.12,65.0,33.0,6.9,7.0,Capcom,T,1
One Piece: Super Grand Battle! X,3DS,2014.0,Fighting,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,72.0,,7.6,,Unknown,Unknown,1
Disney's Extreme Skate Adventure,GC,2003.0,Sports,Activision,0.09,0.02,0.0,0.0,0.12,76.0,18.0,7.6,5.0,Toys for Bob,E,1
Akuji the Heartless,PS,1998.0,Platform,Eidos Interactive,0.07,0.04,0.0,0.01,0.12,69.0,,7.7,,Unknown,Unknown,1
NBA 2K2,GC,2002.0,Sports,Sega,0.09,0.02,0.0,0.0,0.12,90.0,13.0,8.0,4.0,Visual Concepts,E,1
Akiba's Trip: Undead & Undressed,PS4,2014.0,Action,Acquire,0.08,0.0,0.01,0.02,0.12,68.0,,7.4,,Unknown,Unknown,1
Psychonauts,XB,2005.0,Platform,THQ,0.09,0.03,0.0,0.0,0.12,88.0,54.0,9.0,71.0,Double Fine Productions,T,1
Tales of Berseria,PS3,2016.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,74.0,,7.8,,Unknown,Unknown,1
Jeremy McGrath Supercross World,GC,2002.0,Racing,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.12,36.0,14.0,5.6,5.0,Acclaim,E,1
Uta no * Prince-Sama: All Star,PSP,2013.0,Action,Broccoli,0.0,0.0,0.12,0.0,0.12,68.0,,7.4,,Unknown,Unknown,1
HardBall 5,PS,1996.0,Sports,SPS,0.07,0.04,0.0,0.01,0.12,75.0,,7.4,,Unknown,Unknown,1
Airborne Troops: Countdown to D-Day,PS2,2005.0,Shooter,Playlogic Game Factory,0.06,0.05,0.0,0.02,0.12,39.0,4.0,8.1,9.0,WideScreen Games,T,1
MLB Inside Pitch 2003,XB,2003.0,Sports,Microsoft Game Studios,0.09,0.03,0.0,0.0,0.12,75.0,,7.4,,Unknown,Unknown,1
Jikkyou Powerful Pro Yakyuu 2014,PSV,2014.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,75.0,,7.4,,Unknown,Unknown,1
Skate City Heroes,Wii,2008.0,Sports,Zoo Digital Publishing,0.11,0.0,0.0,0.01,0.12,59.0,6.0,7.4,,Zeroscale,E,1
The Sky Crawlers: Innocent Aces,Wii,2008.0,Simulation,Namco Bandai Games,0.08,0.02,0.01,0.01,0.12,74.0,42.0,7.9,13.0,Access Games,T,1
Battle Arena Toshinden Remix,SAT,1994.0,Fighting,Sega,0.0,0.0,0.12,0.0,0.12,72.0,,7.6,,Unknown,Unknown,1
nail'd,PS3,2010.0,Racing,Deep Silver,0.08,0.02,0.0,0.02,0.12,66.0,36.0,6.2,13.0,Techland,E10+,1
Legends of Wrestling II,GC,2002.0,Fighting,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.12,59.0,14.0,7.6,,Acclaim,T,1
Lost Magic,DS,2006.0,Role-Playing,Ubisoft,0.09,0.0,0.02,0.01,0.12,68.0,44.0,8.2,32.0,Taito Corporation,E,1
A.C.E.: Another Century's Episode Portable,PSP,2011.0,Simulation,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,70.0,,7.5,,Unknown,Unknown,1
Jaws: Ultimate Predator,3DS,2011.0,Action,Majesco Entertainment,0.11,0.0,0.0,0.01,0.12,68.0,,7.4,,"MicroProse, n-Space",M,1
Marvel Avengers: Battle for Earth,WiiU,2012.0,Action,Ubisoft,0.06,0.04,0.0,0.01,0.12,50.0,10.0,5.0,25.0,Ubisoft Quebec,T,1
Jikkyou Powerful Pro Yakyuu 9,GC,2002.0,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.12,75.0,,7.4,,Unknown,Unknown,1
Rock Band: Metal Track Pack,PS3,2009.0,Misc,MTV Games,0.11,0.0,0.0,0.01,0.12,69.0,,7.1,,Harmonix Music Systems,T,1
Alice: Madness Returns,PC,2011.0,Adventure,Electronic Arts,0.0,0.1,0.0,0.02,0.12,75.0,29.0,8.4,559.0,Spicy Horse,M,1
Barbie as The Island Princess,PS2,2007.0,Adventure,Activision,0.06,0.04,0.0,0.02,0.12,66.0,,7.6,,"Human Soft, Ivolgamus",E,1
Crime Killer,PS,1998.0,Racing,Interplay,0.07,0.04,0.0,0.01,0.12,69.0,,7.4,,Unknown,Unknown,1
Petz Puppyz & Kittenz,DS,2011.0,Misc,Ubisoft,0.11,0.0,0.0,0.01,0.12,69.0,,7.1,,Unknown,Unknown,1
Backyard Wrestling 2: There Goes the Neighborhood,XB,2004.0,Fighting,Eidos Interactive,0.09,0.03,0.0,0.0,0.12,43.0,17.0,7.6,,Paradox Development,M,1
Raiden IV,X360,2008.0,Shooter,Moss,0.1,0.0,0.01,0.01,0.12,63.0,4.0,7.8,10.0,Moss,E10+,1
MX vs. ATV Untamed,DS,2007.0,Racing,THQ,0.11,0.0,0.0,0.01,0.12,61.0,14.0,7.4,,Rainbow Studios,E,1
Tom Clancy's Splinter Cell: Blacklist,WiiU,2013.0,Action,Ubisoft,0.04,0.07,0.0,0.01,0.12,75.0,5.0,7.8,148.0,Ubisoft Toronto,M,1
SD Gundam G Generation-F.I.F,PS,2001.0,Strategy,Namco Bandai Games,0.0,0.0,0.11,0.01,0.12,73.0,,7.8,,Unknown,Unknown,1
Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,SNES,1994.0,Fighting,Angel Studios,0.0,0.0,0.12,0.0,0.12,72.0,,7.6,,Unknown,Unknown,1
Rubik's World,DS,2008.0,Puzzle,Game Factory,0.1,0.01,0.0,0.01,0.12,66.0,8.0,7.5,,Two Tribes,E,1
Zenses: Ocean,DS,2008.0,Puzzle,Game Factory,0.1,0.01,0.0,0.01,0.12,56.0,5.0,7.5,,Shin'en,E,1
Phantasy Star Universe,X360,2006.0,Role-Playing,Sega,0.09,0.01,0.0,0.01,0.12,64.0,34.0,7.4,42.0,Sonic Team,T,1
Peggle: Dual Shot,DS,2009.0,Puzzle,PopCap Games,0.11,0.0,0.0,0.01,0.12,84.0,17.0,8.2,21.0,Q Entertainment,E,1
NPPL: Championship Paintball 2009,Wii,2008.0,Shooter,Activision Value,0.11,0.0,0.0,0.01,0.12,73.0,,7.7,7.0,FUN Labs,E10+,1
Spider-Man: Edge of Time,3DS,2011.0,Action,Activision,0.08,0.03,0.0,0.01,0.12,50.0,7.0,6.4,12.0,Beenox,T,1
Cruis'n,Wii,2007.0,Racing,Midway Games,0.1,0.01,0.0,0.01,0.12,25.0,7.0,3.7,18.0,Midway Studios - San Diego,E,1
Samurai Warriors 4-II,PS4,2015.0,Action,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,73.0,26.0,7.3,24.0,Omega Force,T,1
Harukanaru Augusta 2: Masters,SNES,1993.0,Sports,T&E Soft,0.0,0.0,0.12,0.0,0.12,75.0,,7.4,,Unknown,Unknown,1
Castlevania: Curse of Darkness,XB,2005.0,Action,Konami Digital Entertainment,0.09,0.03,0.0,0.0,0.12,74.0,26.0,7.0,13.0,Konami,M,1
SimAnimals Africa,Wii,2009.0,Simulation,Electronic Arts,0.1,0.01,0.0,0.01,0.12,53.0,7.0,7.5,,Electronic Arts,E,1
Love Live! School Idol Paradise,PSV,2014.0,Misc,Kadokawa Games,0.0,0.0,0.12,0.0,0.12,69.0,,7.1,,Unknown,Unknown,1
Lost Planet 3,X360,2013.0,Shooter,Capcom,0.07,0.03,0.01,0.01,0.12,58.0,43.0,5.8,142.0,Spark Unlimited,T,1
Battles of Prince of Persia,DS,2005.0,Strategy,Ubisoft,0.1,0.01,0.0,0.01,0.12,64.0,16.0,7.7,14.0,Ubisoft Montreal,E10+,1
The Clique: Diss and Make Up,DS,2009.0,Adventure,Warner Bros. Interactive Entertainment,0.11,0.0,0.0,0.01,0.12,66.0,,7.6,,Gorilla Systems,E10+,1
Mobil 1 Rally Championship,PS,2000.0,Racing,Electronic Arts,0.07,0.04,0.0,0.01,0.12,69.0,,7.4,,Unknown,Unknown,1
USA Today Crossword Challenge,DS,2008.0,Puzzle,Destineer,0.11,0.0,0.0,0.01,0.12,70.0,,7.5,,Sanuk Games,T,1
King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,PS2,2002.0,Fighting,Spike,0.0,0.0,0.12,0.0,0.12,72.0,,7.6,,Unknown,Unknown,1
Turok: Evolution,GBA,2002.0,Shooter,Acclaim Entertainment,0.08,0.03,0.0,0.0,0.12,72.0,8.0,7.0,5.0,RFX Interactive,T,1
Charm Girls Club: My Perfect Prom,DS,2009.0,Simulation,Electronic Arts,0.11,0.0,0.0,0.01,0.12,70.0,,7.5,,Griptonite Games,E,1
Marvel Trading Card Game,DS,2007.0,Misc,Konami Digital Entertainment,0.11,0.0,0.0,0.01,0.12,61.0,17.0,4.9,7.0,1st Playable Productions,T,1
Rugrats: Totally Angelica,PS,2001.0,Adventure,THQ,0.06,0.04,0.0,0.01,0.12,66.0,,7.6,,Unknown,Unknown,1
Nightshade,PS2,2003.0,Action,Sega,0.06,0.04,0.0,0.01,0.12,68.0,39.0,7.7,20.0,Wow Entertainment,M,1
Brunswick Pro Bowling,3DS,2011.0,Sports,Crave Entertainment,0.11,0.0,0.0,0.01,0.12,75.0,,7.4,,"Farsight Studios, Crave",E,1
CSI: Crime Scene Investigation,XB,2004.0,Adventure,Ubisoft,0.09,0.03,0.0,0.0,0.12,45.0,14.0,7.3,4.0,369 Interactive,M,1
Wipeout 2,PS3,2011.0,Misc,Activision,0.11,0.0,0.0,0.01,0.12,69.0,,7.1,,Endemol,E10+,1
LEGO Batman 2: DC Super Heroes,WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,0.04,0.06,0.0,0.01,0.12,77.0,7.0,7.3,31.0,TT Games,E10+,1
Ultimate Puzzle Games: Sudoku Edition,DS,2007.0,Puzzle,Telegames,0.11,0.0,0.0,0.01,0.12,70.0,,7.5,,puzzle.tv,E,1
Buffy the Vampire Slayer: Chaos Bleeds,XB,2003.0,Action,Vivendi Games,0.09,0.03,0.0,0.0,0.12,73.0,26.0,8.4,14.0,Eurocom Entertainment Software,T,1
Onechanbara: Bikini Zombie Slayers,Wii,2008.0,Action,D3Publisher,0.11,0.0,0.0,0.01,0.12,55.0,24.0,8.0,20.0,Tamsoft,M,1
Hanagumi Taisen Columns,SAT,1997.0,Puzzle,Sega,0.0,0.0,0.12,0.0,0.12,70.0,,7.5,,Unknown,Unknown,1
Tropico 5,PC,2014.0,Simulation,Kalypso Media,0.02,0.09,0.0,0.01,0.12,75.0,51.0,7.0,351.0,Haemimont,T,1
Tales of Destiny 2,PSP,2007.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,74.0,,7.8,,Unknown,Unknown,1
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,GC,2005.0,Action,Konami Digital Entertainment,0.09,0.02,0.0,0.0,0.12,57.0,10.0,7.4,,Konami,E10+,1
Reality Fighters,PSV,2012.0,Fighting,Sony Computer Entertainment,0.05,0.05,0.0,0.02,0.12,54.0,39.0,3.8,30.0,Novarama,T,1
Petz Fantasy: Moonlight Magic,DS,2010.0,Simulation,Ubisoft,0.11,0.0,0.0,0.01,0.12,70.0,,7.5,,Ubisoft,E,1
The Price is Right: Decades,Wii,2011.0,Misc,Ubisoft,0.11,0.0,0.0,0.01,0.12,69.0,,7.1,,Ludia Inc.,E10+,1
Power Pro Kun Pocket 14,DS,2011.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,75.0,,7.4,,Unknown,Unknown,1
Dragon Ball: Origins,DS,2008.0,Action,Atari,0.08,0.02,0.0,0.01,0.12,78.0,18.0,7.5,15.0,Game Republic,T,1
Jikkyou Powerful Pro Baseball 2016,PS3,2016.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,75.0,,7.4,,Unknown,Unknown,1
FIFA 17,PC,2016.0,Sports,Electronic Arts,0.0,0.11,0.0,0.01,0.12,84.0,12.0,4.2,160.0,"EA Sports, EA Vancouver",E,1
After Hours Athletes,PS3,2011.0,Sports,Sony Computer Entertainment,0.0,0.1,0.0,0.02,0.12,75.0,,7.4,,Unknown,Unknown,1
UN Squadron,SNES,1991.0,Shooter,Capcom,0.0,0.0,0.12,0.0,0.12,73.0,,7.4,,Unknown,Unknown,1
Tecmo Super Bowl,PS,1996.0,Sports,Tecmo Koei,0.06,0.04,0.0,0.01,0.12,75.0,,7.4,,Unknown,Unknown,1
Disney Princess: Enchanting Storybooks,DS,2011.0,Misc,THQ,0.07,0.03,0.0,0.01,0.12,69.0,,7.1,,Page 44 Studios,E,1
Dora the Explorer: Journey to the Purple Planet,GC,2005.0,Adventure,Global Star,0.09,0.02,0.0,0.0,0.12,66.0,,7.6,,Take-Two Interactive,EC,1
Lunar 2: Eternal Blue,SAT,1998.0,Role-Playing,Kadokawa Shoten,0.0,0.0,0.12,0.0,0.12,74.0,,7.8,,Unknown,Unknown,1
NHL Powerplay '96,PS,1996.0,Sports,Virgin Interactive,0.06,0.04,0.0,0.01,0.12,75.0,,7.4,,Unknown,Unknown,1
Thousand Arms,PS,1998.0,Role-Playing,Atlus,0.06,0.04,0.0,0.01,0.12,74.0,,7.8,,Unknown,Unknown,1
Arctic Thunder,XB,2001.0,Racing,Midway Games,0.09,0.02,0.0,0.0,0.12,57.0,17.0,7.4,,Inland Productions,T,1
Barnyard,GC,2006.0,Action,THQ,0.09,0.02,0.0,0.0,0.12,66.0,12.0,7.4,,Blue Tongue Entertainment,E10+,1
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013.0,Misc,Ubisoft,0.09,0.01,0.0,0.01,0.12,69.0,,7.1,,Unknown,Unknown,1
Stolen Song,PS,1998.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.11,0.01,0.12,66.0,,7.6,,Unknown,Unknown,1
Armored Core: Verdict Day,PS3,2013.0,Simulation,From Software,0.0,0.0,0.12,0.0,0.12,66.0,18.0,7.4,28.0,From Software,T,1
Yattaman DS: BikkuriDokkiri Daisakusen da Koron,DS,2008.0,Action,Takara Tomy,0.0,0.0,0.12,0.0,0.12,68.0,,7.4,,Unknown,Unknown,1
Madden NFL 17,PS3,2016.0,Sports,Electronic Arts,0.07,0.02,0.0,0.02,0.12,75.0,,0.2,5.0,EA Sports,E,1
Harvey Birdman: Attorney at Law,PS2,2008.0,Adventure,Capcom,0.06,0.04,0.0,0.01,0.12,63.0,21.0,7.6,,High Voltage Software,T,1
My Chinese Coach,DS,2008.0,Misc,Ubisoft,0.1,0.01,0.0,0.01,0.12,69.0,,7.1,,"Ubisoft, Sensory Sweep",E,1
Lost in Shadow,Wii,2010.0,Platform,Konami Digital Entertainment,0.09,0.0,0.01,0.01,0.12,68.0,38.0,8.7,18.0,Hudson Soft,E10+,1
DEATH NOTE: Kira Game,DS,2007.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,66.0,,7.6,,Unknown,Unknown,1
Legend of the Guardians: The Owls of Ga'Hoole,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,0.1,0.01,0.0,0.01,0.12,54.0,5.0,7.4,,Tantatus,E10+,1
Sengoku Cyber: Fujimaru Jigokuhen,PS,1995.0,Strategy,Sony Computer Entertainment,0.0,0.0,0.11,0.01,0.12,73.0,,7.8,,Unknown,Unknown,1
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol.10: CR Shinseiki Evangelion: Kiseki no Kachi,PS2,2007.0,Misc,D3Publisher,0.0,0.0,0.12,0.0,0.12,69.0,,7.1,,Unknown,Unknown,1
